Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://amarujala.com,https://www.amarujala.com/rss/breaking-news.xml,Amar Ujala,Top News,Enabled,,,article,,amarujala.com,Top News,37,
https://cnbc.com,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=100727362,CNBC,Business,Enabled,,,article,,cnbc.com,Business,38,
https://bloombergquint.com,https://bloombergquint.com/stories.rss,Bloomberg Quint,Business,Enabled,,,article,,bloombergquint.com,Business,39,
https://timesofindia.com,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,The Times of India,Top News,Enabled,,,article,,timesofindia.com,Top Sources; Top News,40,
https://theverge.com,https://feeds.feedburner.com/WindowsReport2,The Verge,Technology,Enabled,,,article,,theverge.com,Technology,41,
https://nature.com,https://www.nature.com/nature.rss,Nature,Science,Enabled,,,article,,nature.com,Science,42,
https://mydramalist.com,https://mydramalist.com/rss,MyDramaList,Entertainment,Enabled,,,article,,mydramalist.com,Entertainment,43,
https://techspot.com,https://www.techspot.com/backend.xml,TechSpot,Technology,Enabled,,,article,,techspot.com,Technology,44,
https://prokerala.com,https://www.prokerala.com/news/all/rss.xml,Prokerala,Top News,Enabled,,,article,,prokerala.com,Top News,45,
https://collider.com,https://collider.com/feed/,Collider,Entertainment,Enabled,,,article,,collider.com,Entertainment,46,
https://oneindia.com,https://www.oneindia.com/rss/feeds/news-india-fb.xml,Oneindia,Top News,Enabled,,,article,,oneindia.com,Top News,47,
https://theprint.in,https://theprint.in/feed/,ThePrint,Top News,Enabled,,,article,,theprint.in,Top News,48,
https://jagran.com,,Dainik Jagran,Top News,Enabled,,,article,,jagran.com,Top News,49,
https://indiatvnews.com,https://www.indiatvnews.com/rssnews/topstory.xml,India TV,Top News,Enabled,,,article,,indiatvnews.com,Top News,50,
https://techopedia.com,https://www.techopedia.com/feed,Techopedia,Technology,Enabled,,,article,,techopedia.com,Technology,51,
https://gamerant.com,https://gamerant.com/feed/,Game Rant,Gaming,Enabled,,,article,,gamerant.com,Gaming,52,
https://chron.com,https://www.chron.com/rss/feed/News-270.php,Houston Chronicle,Top News,Enabled,,,article,,chron.com,Top News,53,
https://cbr.com,https://www.cbr.com/feed/,Comic Book Resources,Entertainment,Enabled,,,article,,cbr.com,Entertainment,54,
https://tomsguide.com,https://www.tomsguide.com/feeds/all,Tom's Guide,Technology,Enabled,,,article,,tomsguide.com,Technology,55,
https://bollywoodhungama.com,https://www.bollywoodhungama.com/rss/news.xml,Bollywood Hungama,Entertainment,Enabled,,,article,,bollywoodhungama.com,Entertainment,56,
https://aajtak.in,https://www.aajtak.in/rssfeeds/?id=home,Aaj Tak,Top News,Enabled,,,article,,aajtak.in,Top News,57,
https://dnaindia.com,https://dnaindia.com/rss,DNA India,Top News,Enabled,,,article,,dnaindia.com,Top News,58,
https://businesstoday.in,https://businesstoday.in/rssfeeds/?id=home,Business Today,Business,Enabled,,,article,,businesstoday.in,Business,59,
https://techcrunch.com,https://techcrunch.com/feed/,TechCrunch,Technology,Enabled,,,article,,techcrunch.com,Technology,60,
https://androidauthority.com,https://www.androidauthority.com/feed,Android Authority,Technology,Enabled,,,article,,androidauthority.com,Technology,61,
https://zeebiz.com,https://www.zeebiz.com/latest.xml,Zee Business,Business,Enabled,,,article,,zeebiz.com,Business,62,
https://itsfoss.com,https://itsfoss.com/rss/,It's FOSS,Technology,Enabled,,,article,,itsfoss.com,Technology,63,
https://beebom.com,https://beebom.com/rss,Beebom,Technology,Enabled,,,article,,beebom.com,Technology,64,
https://tecmint.com,https://www.tecmint.com/feed/,TecMint,Technology,Enabled,,,article,,tecmint.com,Technology,65,
https://animenewsnetwork.com,https://www.animenewsnetwork.com/all/rss.xml?ann-edition=in,Anime News Network India,Entertainment,Enabled,,,article,,animenewsnetwork.com,Entertainment,66,
https://dailymail.co.uk,https://www.dailymail.co.uk/news/india/index.rss,Daily Mail India,Top News,Enabled,,,article,,dailymail.co.uk,Top News,67,
