Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains,Channels,Rank,Original_Feed
https://www.legendsstadium.com,https://www.legendsstadium.com/rss/brave?escape=nofilter,LEGENDSSTADIUM,Sports,Enabled,,,article,,www.legendsstadium.com,Top Sources; Sports,17,
https://rocketnews24.com,https://rocketnews24.com/feed/,ロケットニュース24,Top News,Enabled,,,article,,rocketnews24.com,Top Sources; Top News,18,
https://clicccar.com/,https://clicccar.com/feed/custom_sub,clicccar,Cars,Enabled,,,article,,clicccar.com,Top Sources; Cars,19,
https://www.gqjapan.jp/,https://www.gqjapan.jp/feeds,GQ JAPAN,Culture,Disabled,,,article,,www.gqjapan.jp,Top Sources; Culture,20,
https://techtarget.itmedia.co.jp/tt/healthcare/,https://rss.itmedia.co.jp/rss/1.0/tt_healthcare.xml,TechTargetジャパン,Health,Disabled,,,article,,techtarget.itmedia.co.jp,Top Sources; Health,21,
https://www.fnn.jp/,https://www.fnn.jp/list/feed/rss,FNNプライムオンライン,Top News,Disabled,,,article,,www.fnn.jp,Top Sources; Top News,22,
https://co-trip.jp/,https://co-trip.jp/feed/rss2.0,ことりっぷ,Travel,Disabled,,,article,,co-trip.jp,Top Sources; Travel,23,
https://www.coindeskjapan.com,https://www.coindeskjapan.com/feed/,CoinDesk Japan,Crypto,Enabled,,,article,,www.coindeskjapan.com,Top Sources; Crypto,24,
https://wired.jp,https://wired.jp/rssfeeder/,WIRED.jp,Culture,Enabled,,,article,,wired.jp,Top Sources; Culture,25,
https://www.bbcjapanese.com,https://feeds.bbci.co.uk/japanese/rss.xml,BBC Japanese,Top News,Enabled,,,article,,www.bbc.com,Top Sources; Top News,26,
https://www.dhbr.net/subcategory/Management/,https://www.dhbr.net/list/feed/rsssc?w=Management,DIAMOND ハーバード・ビジネス・レビュー,Business,Disabled,,,article,,www.dhbr.net,Top Sources; Business,27,
https://r25.jp/,https://r25.jp/rss.xml,新R25,Business,Disabled,,,article,,r25.jp,Top Sources; Business,28,
https://f1-gate.com/,https://f1-gate.com/rss2.xml,F1-Gate.com,Sports,Disabled,,,article,,f1-gate.com,Top Sources; Sports,29,
https://number.bunshun.jp/subcategory/%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E6%97%A5%E6%9C%AC%E4%BB%A3%E8%A1%A8/column/,https://number.bunshun.jp/list/rsssports?w=%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E6%97%A5%E6%9C%AC%E4%BB%A3%E8%A1%A8,Number Web - サッカー日本代表,Sports,Disabled,,,article,,number.bunshun.jp,Top Sources; Sports,30,
https://number.bunshun.jp/subcategory/%E3%83%97%E3%83%AD%E9%87%8E%E7%90%83/column/,https://number.bunshun.jp/list/rsssports?w=%E3%83%97%E3%83%AD%E9%87%8E%E7%90%83,Number Web - プロ野球,Sports,Disabled,,,article,,number.bunshun.jp,Top Sources; Sports,31,
https://number.bunshun.jp/subcategory/J%E3%83%AA%E3%83%BC%E3%82%B0/column/,https://number.bunshun.jp/list/rsssports?w=J%E3%83%AA%E3%83%BC%E3%82%B0,Number Web - Jリーグ,Sports,Disabled,,,article,,number.bunshun.jp,Top Sources; Sports,32,
https://number.bunshun.jp/subcategory/%E3%83%A2%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84/column/,https://number.bunshun.jp/list/rsssports?w=%E3%83%A2%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84,Number Web - モータースポーツ,Sports,Disabled,,,article,,number.bunshun.jp,Top Sources; Sports,33,
https://number.bunshun.jp/subcategory/%E3%81%9D%E3%81%AE%E4%BB%96%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84/column/,https://number.bunshun.jp/list/rsssports?w=%E3%81%9D%E3%81%AE%E4%BB%96%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84,Number Web - その他スポーツ,Sports,Disabled,,,article,,number.bunshun.jp,Top Sources; Sports,34,
https://crea.bunshun.jp/list/genre/trip/,https://crea.bunshun.jp/list/feed/rss-trip,CREA WEB,Travel,Disabled,,,article,,crea.bunshun.jp,Top Sources; Travel,35,
https://gigazine.net/,https://gigazine.net/news/rss_2.0/,GIGAZINE,Top News,Disabled,,,article,,gigazine.net,Top Sources; Top News,36,
https://number.bunshun.jp/category/column,https://number.bunshun.jp/list/rsscolumn,Number Web - 新着コラム,Sports,Disabled,,,article,,number.bunshun.jp,Top Sources; Sports,37,
https://xtech.nikkei.com/,https://xtech.nikkei.com/rss/index.rdf,日経クロステック,Technology,Disabled,,,article,,xtech.nikkei.com,Technology,38,
https://news.yahoo.co.jp/search/?p=%E7%94%A3%E7%B5%8C%E6%96%B0%E8%81%9E&vaop=a&to=2&st=n&c_n=dom/,https://news.yahoo.co.jp/rss/topics/top-picks.xml,産経新聞 - 国内,Top News,Disabled,,,article,,news.yahoo.co.jp,Top News,39,
https://www.jalan.net/news/,https://www.jalan.net/news/feed/rss2/,じゃらんニュース,Travel,Disabled,,,article,,www.jalan.net,Travel,40,
https://www.vogue.co.jp,https://www.vogue.co.jp/rss/vogue,VOGUE JAPAN,Fashion,Enabled,,,article,,www.vogue.co.jp,Fashion,41,
https://yutura.net/,https://yutura.net/news/feed,yutura,Entertainment,Enabled,,,article,,yutura.net,Entertainment,42,
https://www.lifehacker.jp,https://www.lifehacker.jp/feed/index.xml,ライフハッカー［日本版］,Top News,Enabled,,,article,,www.lifehacker.jp,Top News,43,
